<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
11/19/19;00:00:00;267.9000000;268.0000000;265.3926000;266.2900000;12.405.480
11/20/19;00:00:00;265.5500000;266.0830000;260.4000000;263.2200000;18.271.516
11/21/19;00:00:00;263.9800000;264.0050000;261.1800000;262.0100000;13.948.522
11/22/19;00:00:00;262.5500000;263.1800000;260.8400000;261.8400000;12.167.403
11/25/19;00:00:00;262.6400000;266.4400000;262.5200000;266.4200000;11.705.460
11/26/19;00:00:00;266.9300000;267.1600000;262.5000000;264.1000000;12.456.128
11/27/19;00:00:00;265.6300000;267.9800000;265.3100000;267.8999000;11.496.902
11/29/19;00:00:00;266.6000000;268.0000000;265.9000000;267.4000000;9.485.545
12/02/19;00:00:00;267.5900000;268.2500000;263.4500000;264.0900000;15.706.336
12/03/19;00:00:00;258.2500000;259.5300000;256.2900000;259.5200000;21.861.166
12/04/19;00:00:00;261.0700000;263.3100000;260.6800000;261.7400000;12.079.852
12/05/19;00:00:00;263.7900000;265.8900000;262.7300000;265.5800000;13.096.973
12/06/19;00:00:00;267.5100000;271.0000000;267.3000000;270.7000000;19.659.702
12/09/19;00:00:00;270.0700000;270.8000000;264.9100000;266.9200000;24.235.279
12/10/19;00:00:00;268.6000000;270.0700000;265.8600000;268.6200000;17.521.257
12/11/19;00:00:00;268.8000000;271.1000000;268.5000000;270.7400000;14.644.467
12/12/19;00:00:00;267.8200000;272.5599000;267.3210000;271.4600000;26.950.070
12/13/19;00:00:00;271.4600000;275.3000000;270.9300000;275.2600000;25.843.755
12/16/19;00:00:00;277.0000000;280.7900000;276.9800000;279.8600000;21.205.793
12/17/19;00:00:00;279.5700000;281.7700000;278.8000000;280.4200000;18.902.598
12/18/19;00:00:00;279.7100000;281.9000000;279.1200000;279.7100000;18.376.639
12/19/19;00:00:00;279.5100000;281.1800000;278.9500000;280.0300000;14.919.770
12/20/19;00:00:00;282.2300000;282.6500000;278.5600000;279.2800000;24.634.964
12/23/19;00:00:00;280.5800000;284.2500000;280.3735000;283.9700000;15.672.903
12/24/19;00:00:00;284.5200000;284.8900000;282.9197000;284.4300000;8.518.924
12/26/19;00:00:00;284.8200000;289.9800000;284.7000000;289.9100000;17.675.011
12/27/19;00:00:00;291.1200000;293.9700000;288.1200000;289.8300000;28.497.535
12/30/19;00:00:00;289.5700000;292.6900000;285.2200000;291.6470000;28.515.677
12/31/19;00:00:00;289.9300000;293.6800000;289.5200000;293.3700000;18.530.095
01/02/20;00:00:00;296.2500000;300.5100000;295.2000000;300.4400000;2.647.764
01/03/20;00:00:00;297.1000000;300.5800000;296.5000000;297.7200000;2.701.131
01/06/20;00:00:00;293.7800000;299.9600000;292.8000000;299.8300000;2.014.094
01/07/20;00:00:00;299.7500000;300.8800000;297.4800000;298.3700000;1.904.816
01/08/20;00:00:00;297.2600000;304.4300000;297.2600000;303.0300000;2.560.471
01/09/20;00:00:00;307.2500000;310.4200000;306.2000000;309.6300000;3.929.020
01/10/20;00:00:00;310.6500000;312.6500000;308.2600000;310.3100000;3.265.161
01/13/20;00:00:00;311.7500000;317.0700000;311.1500000;316.9300000;2.395.413
01/14/20;00:00:00;316.6300000;317.5200000;312.1900000;312.6300000;3.105.643
01/15/20;00:00:00;311.9600000;315.5000000;309.5500000;311.4550000;2.386.914
01/16/20;00:00:00;313.6300000;315.6100000;312.1000000;315.3200000;1.933.890
01/17/20;00:00:00;316.5600000;318.7300000;315.0200000;318.7000000;2.431.194
01/21/20;00:00:00;317.1900000;319.0100000;316.2100000;316.4900000;1.660.974
01/22/20;00:00:00;318.7300000;319.9900000;317.3200000;317.7200000;2.129.470
